Set,Price_Euro,Pieces,Minifigs
Cookie Cutters,9.74,NaN,NaN
LEGO Friends Ceramic Mug,14.99,NaN,NaN
LEGO Friends Hair Accessory Set,9.99,NaN,NaN
Jay Keyring,4.86,NaN,NaN
Nya Keyring,4.86,NaN,NaN
Lloyd's Kendo Training Pod,8.99,25,1
4 4x4 Magnets,7.79,NaN,NaN
NINJAGO Tumbler with Straw,7.99,NaN,NaN
Creative Bag Charm,5.99,NaN,NaN
Brick Suit Guy Key Chain,4.86,NaN,NaN
Cactus Boy Key Chain,5.99,NaN,NaN
Elephant Girl Key Chain,4.99,NaN,NaN
LEGO Greeting Card,4.99,40,1
LEGO Toy Soldier Ornament,7.99,43,NaN
Drinking cup,NaN,NaN,NaN
LEGO® Minifigure Ceramic Mug,14.99,NaN,NaN
LEGO Brick Ice Cube Tray,9.74,NaN,NaN
Ice Lollipop Tray,NaN,NaN,NaN
LEGO Key Hanger,9.74,NaN,NaN
London Bus Magnet,9.99,NaN,NaN
4 4x4 Magnets,7.79,NaN,NaN
Creative Stationery Set,16.99,NaN,NaN
City Firefighter Key Chain,4.99,NaN,NaN
City Police Vest,NaN,NaN,NaN
LEGO DUPLO Tableware,14.61,NaN,NaN
Brick Stickers,5.99,17,NaN
Creative Rings,NaN,43,NaN
Stormtrooper Keyring,5.99,NaN,NaN
Luke Skywalker Key Chain,4.99,NaN,NaN
Princess Leia Key Chain,4.99,NaN,NaN
Kylo Ren Key Chain,4.86,NaN,NaN
Spider Man Key Chain,5.99,NaN,NaN
Batman Key Chain,5.99,NaN,NaN
Superman Key Chain,5.99,NaN,NaN
Batwoman Key Chain,5.99,NaN,NaN
Ariel Key Chain,4.99,NaN,NaN
Aurora Key Chain,4.99,NaN,NaN
Creeper Key Chain,4.99,NaN,NaN
Chicken Skater Pod,NaN,36,1
2x6 Key Chain,4.99,NaN,NaN
TLM2 Stop Sign Shield,15.99,NaN,NaN
Wooden Minifigure,116.97,NaN,NaN
"Wooden Minifigure, Colette Mon Amour Edition",NaN,NaN,NaN
Elsa Key Chain,5.99,NaN,NaN
Anna Key Chain,5.99,NaN,NaN
Olaf Key Chain,4.99,NaN,NaN
Minifigure Factory Box,NaN,NaN,NaN
Young Wu,NaN,9,1
Jay,NaN,8,1
Heavy Metal,NaN,11,1
Iron Baron,NaN,7,1
Lloyd,NaN,10,1
Daddy No Legs,NaN,28,1
Nya,NaN,9,1
Blizzard Samurai,NaN,9,1
Cole,NaN,14,1
Pyro Whipper,NaN,8,1
Kai,NaN,10,1
Blizzard Samurai,NaN,8,1
Zane,NaN,8,1
Jay,NaN,9,1
Luke Skywalker,NaN,6,1
Resistance Bomber,NaN,37,NaN
Slave I,NaN,31,NaN
U-wing,NaN,37,NaN
IG-88,NaN,11,1
AT-M6,NaN,52,NaN
Millennium Falcon,NaN,32,NaN
B-wing,NaN,52,NaN
First Order Stormtrooper ,NaN,5,1
Jedi Interceptor,NaN,30,NaN
First Order SF TIE Fighter,NaN,32,NaN
Kylo Ren's TIE Silencer,NaN,33,NaN
Police Officer and Jet,NaN,22,1
Fireman,NaN,9,1
Lawnmower,NaN,27,1
Police Officer with Jetpack,NaN,10,1
Gyrocopter,NaN,29,1
Diver,NaN,16,1
Police Buggy,NaN,27,1
Astronaut,NaN,18,2
Pizza Delivery Biker,NaN,10,1
Traffic Cop,NaN,9,1
Space Buggy,NaN,17,1
Lumberjack,NaN,13,1
FIRST Competitions Medal,NaN,18,NaN
Spike Prime Marketing Kit,NaN,150,NaN
